country,total_production,avg_renewable_share,growth_rate_pct,num_renewable_types,production_2010,production_2022,share_normalized,growth_normalized,diversity_normalized,storage_score
Netherlands,183662.557761,0.03046758695009955,837.7565797899283,5,4154.008,38954.48334500001,0.07703004781824664,1.0,1.0,63.08120191272987
Iceland,238577.395604,0.29540874431436376,17.926841431368945,5,16743.999,19745.66915,1.0,0.05114264830963489,1.0,62.045705932385395
Norway,1806638.3512940002,0.2754808605752665,22.28287150960766,5,117548.999,143742.291408,0.9305776494496472,0.05618424532732376,1.0,59.47047579107885
Hungary,25192.685539000002,0.016648635678501354,657.6707413586795,5,707.849,5363.164766,0.028889257156518695,0.7915716352605889,1.0,52.818435696684304
United Kingdom,780477.332684,0.039635910750915125,503.89016139547886,5,17033.005,102860.641385,0.10896954511723055,0.6135885407006871,1.0,48.90232343271671
Belgium,147785.76961699998,0.037981123132939915,485.0983394325141,5,3491.9990000000003,20431.628161999997,0.10320479620532916,0.5918391974078764,1.0,47.80175974452822
New Zealand,439628.965861,0.18319489234611966,15.708799904850283,5,31638.558000000005,36608.59576900001,0.6090829578325443,0.04857552380765532,1.0,46.30633926560799
Denmark,184858.413991,0.13200695353325162,167.42817652582355,5,7835.9980000000005,20955.666564000003,0.43076060917065295,0.22417301578071136,1.0,46.197344998054575
Poland,189452.917051,0.02307175800702161,473.429464709316,5,5124.001,29382.531506,0.051265353673154206,0.5783338351978782,1.0,45.183967554841296
Lithuania,27031.882738,0.14253784828926566,77.97418035440704,5,1497.995,2666.0443229999996,0.4674468663233153,0.12064044318182898,1.0,43.523492380205774
Austria,605000.055411,0.16307535480000393,12.52065713965345,5,41550.133,46752.482694000006,0.5389929469350447,0.04488562021004709,1.0,43.35514268580367
Sweden,1094915.5788460001,0.1476131336859489,53.348586290845326,5,69877.598,107156.308667,0.4851275315943778,0.09213918874607716,1.0,43.09066881361821
Canada,5294722.442994,0.15556871872476633,22.312469870958083,5,356899.002,436531.98429100006,0.5128422363080729,0.05621850198020093,1.0,42.762429531530955
Ireland,105656.838514,0.07495048530750625,259.41694035859365,5,3583.1649999999995,12878.502011,0.2319941876985355,0.33063928646075613,1.0,42.50533896637167
Luxembourg,19799.384332,0.15188866128403083,8.948647733919914,5,1533.4629999999997,1670.687202,0.5000220973991459,0.04075143572471308,1.0,41.630941324954364
Chile,374869.036588,0.10931574312586505,112.90786551605463,5,21973.002,46782.24954799999,0.35171171547288366,0.16107211141288402,1.0,40.51135307543071
Korea,239246.627858,0.008355892010791269,412.95501973859155,5,7994.997999999999,41010.743569,0.0,0.5083417148647535,1.0,40.333668594590144
Switzerland,514958.392006,0.14517129797784736,0.4070233928871762,5,37580.996,37733.95944499999,0.47662095976098195,0.030865501277405203,1.0,40.299458441535485
Australia,566977.1839010001,0.041603466220003146,295.2373254471345,5,22322.034,88225.010167,0.11582387683105458,0.37209720649143546,1.0,39.516843332899604
Latvia,37758.745863000004,0.1339671255107192,-17.1287055083254,5,3536.701,2930.9099010000004,0.437589219169604,0.010569939276350302,1.0,37.926366337838175
Greece,189251.787656,0.08234757933350735,119.1590782286533,5,10328.006,22634.762749000005,0.25776328898646944,0.16830716140168464,1.0,37.042818015526166
Germany,1919982.968285,0.059165820166574505,168.0127283382425,5,76511.001,205059.221259,0.17700548086541654,0.22484956636030876,1.0,36.07420188902901
Republic of Turkiye,1124345.159418,0.06772297893952374,129.13457425946805,5,54898.00299999999,125790.305451,0.20681587537736384,0.17985263517840788,1.0,35.46674042223087
Portugal,328172.205406,0.11086597123781328,-1.4350977481834077,5,25830.301,25459.610932000003,0.35711221262700626,0.02873346079920947,1.0,35.43382693704863
Finland,238848.930359,0.07592015009672155,96.74451797758856,5,13041.738000000001,25658.904564,0.2353721885838562,0.14236492085584637,1.0,35.10948437758811
Estonia,8841.941713,0.027194343728912225,242.60393352675308,5,304.002,1041.52281,0.06562711907212951,0.31118019100472505,1.0,35.07229240307419
Spain,1288005.911593,0.09909143673567386,21.690161210793306,5,95036.99899999998,115650.677293,0.3160935137788678,0.05549825225078739,1.0,34.863670641186204
Slovenia,62636.200368000005,0.09019352922638983,-16.223328223834727,5,4648.857999999998,3894.658508,0.28509606004211113,0.01161780794010779,1.0,31.868554719288756
OECD Europe,13667020.71201,0.06084480841908818,71.53667293512555,5,769809.6240000002,1320505.816944,0.18285453702019763,0.11318977878707752,1.0,31.84177263229101
Italy,1154704.889244,0.07383160321412538,19.12270876943034,5,69763.243,83103.864787,0.22809636162085695,0.05252672534694488,1.0,31.224923478712075
United States,7994065.278982,0.034728611941779806,131.43414742309037,5,397988.99799999996,921082.4443590001,0.09187409119731754,0.1825141230459029,1.0,30.975528569728816
OECD Americas,14844171.458901001,0.04536825402137608,89.00438061735234,5,821212.7220000001,1552128.0187669997,0.12893918911992702,0.13340661415663108,1.0,30.493832131062327
OECD Total,31554006.093865,0.04611233946165954,83.76783209183563,5,1755085.5440000002,3225282.6555660004,0.1315313439594008,0.12734591968137557,1.0,30.355090545631057
IEA Total,30329109.322748996,0.04507969481529876,80.09418361932352,5,1708182.984,3076338.1997589995,0.12793394146688455,0.1230940998246718,1.0,30.041121651662255
OECD Asia Oceania,3042813.9229459995,0.026583010143193815,114.94693761059077,5,164063.198,352648.819847,0.06349742908363953,0.16343209966044508,1.0,29.077181149763387
Mexico,669459.3076439999,0.03842252602231247,62.655184216079995,5,44351.72,72140.371869,0.10474250219163216,0.1029104909414155,1.0,28.30611972532191
Japan,1796962.141316,0.03160295876832737,82.94863036552577,5,102107.608,186804.47033500002,0.08098531880446597,0.12639778918042202,1.0,28.29532431939552
France,1254260.3897350002,0.036916070349913774,39.85881026676253,5,77733.56,108717.23219400001,0.09949449416694427,0.07652634554922637,1.0,27.04083358864683
Slovak Republic,61749.456766,0.052157294597844156,-26.26132226674401,5,5601.003,4130.105552,0.1525900273609919,0.0,1.0,26.103601094439675
Czech Republic,74454.570224,0.02055024266939708,42.35981684214772,5,4313.001,6139.980324,0.04248120358584588,0.07942096910902982,1.0,24.87608690779503
Colombia,486460.90993400005,0.18092957956400071,,5,0.0,63306.502940000006,0.6011913352134342,,1.0,
Argentina,275106.68773999996,0.05505812797736986,,5,0.0,40908.874409,0.16269559975383446,,1.0,
Brazil,3502996.1358980006,0.15422160162771364,,5,0.0,530930.6584569999,0.5081493127358381,,1.0,
Bulgaria,58099.854563,0.04379179931236878,,5,0.0,7235.949295,0.12344732691979074,,1.0,
Croatia,63749.04952799999,0.1502584849241383,,5,0.0,7978.761607,0.49434308621075146,,1.0,
Cyprus,4010.870958,0.030707819556509634,,5,0.0,827.862936,0.07786694110978597,,1.0,
India,2062017.404758,0.036041528095249714,,5,0.0,342149.47782499995,0.09644786965983368,,1.0,
Malta,1499.606037,0.03717785640864885,,5,0.0,255.94600100000002,0.10040647276821672,,1.0,
North Macedonia,12819.651692,0.0770079897601628,,5,0.0,1481.7055879999998,0.23916187279953788,,1.0,
Romania,199266.918098,0.10074985851939032,,5,0.0,23068.066253999998,0.3218709229577273,,1.0,
Serbia,88214.524663,0.08143592677376973,,5,0.0,10159.734071,0.254587384088045,,1.0,
Costa Rica,24594.482759,0.24564999125773182,,4,0.0,12284.46576,0.8266564757767688,,0.0,
